route_color,route_id,route_stop_id,stop_name,vehicle_number,arrival_time,departure_time,actual_dwell_seconds
Red,20,273,West Village,2210,2026-09-21T16:02:21-04:00,2026-09-21T16:07:10-04:00,288.8
Clough,28,393,Publix at the Plaza,2309,2026-09-21T16:05:01-04:00,2026-09-21T16:07:10-04:00,128.0
Red,20,269,Nanotechnology,2215,2026-09-21T16:06:43-04:00,2026-09-21T16:07:44-04:00,61.1
Blue,21,305,Student Center,2204,2026-09-21T16:06:57-04:00,2026-09-21T16:07:44-04:00,46.9
Gold,29,407,Exhibition Hall,2307,2026-09-21T16:07:15-04:00,2026-09-21T16:07:50-04:00,34.6
Gold,29,421,Ferst Drive & Student Center,2303,2026-09-21T16:07:03-04:00,2026-09-21T16:08:04-04:00,60.3
Clough,28,394,Fowler Street NB,2301,2026-09-21T16:07:21-04:00,2026-09-21T16:08:10-04:00,48.8
Gold,29,416,Couch Park,2306,2026-09-21T16:06:43-04:00,2026-09-21T16:08:15-04:00,92.5
Red,20,271,8th St & Hemphill Ave,2210,2026-09-21T16:07:27-04:00,2026-09-21T16:08:27-04:00,60.2
Blue,21,301,Weber Building Loop,2214,2026-09-21T16:07:03-04:00,2026-09-21T16:08:50-04:00,106.4
Clough,28,388,5th Street Bridge EB,2301,2026-09-21T16:08:15-04:00,2026-09-21T16:08:50-04:00,34.6
Red,20,270,Kendeda Building,2215,2026-09-21T16:07:44-04:00,2026-09-21T16:09:08-04:00,83.7
Gold,29,419,Weber Loop,2308,2026-09-21T15:57:26-04:00,2026-09-21T16:09:08-04:00,701.9
Clough,28,389,Technology Square EB,2301,2026-09-21T16:09:24-04:00,2026-09-21T16:09:48-04:00,23.5
Blue,21,306,Exhibition Hall,2204,2026-09-21T16:08:21-04:00,2026-09-21T16:09:54-04:00,92.6
Red,20,275,Ferst Dr & Hemphill Ave,2210,2026-09-21T16:08:32-04:00,2026-09-21T16:09:59-04:00,87.1
Clough,28,385,MARTA Midtown Station,2302,2026-09-21T16:07:32-04:00,2026-09-21T16:10:11-04:00,158.9
Northside Dr. - Atlantic Station,26,358,Exhibition Hall,2209,2026-09-21T16:08:32-04:00,2026-09-21T16:10:40-04:00,127.2
